Date,Actual Sales,Sales_Lag1,Sales_Lag2,Sales_Lag3,Sales_Lag4,Sales_Lag8,Rolling_Mean_4,Rolling_Mean_8,Rolling_Sum_4,Rolling_Std_4,Sin_Week,Cos_Week,Sin_Month,Cos_Month,Quarter,Week_of_Year
2023-10-16,1332148.5,882547.0,1409615.0,1198765.0,1697958.0,1586170.0,1297221.25,1479456.875,5188885.0,297855.10933033784,-0.9350162426854148,0.35460488704253557,-0.8660254037844386,0.5000000000000001,4,42
2023-10-23,1032955.94,1332148.5,882547.0,1409615.0,1198765.0,1713166.0,1205768.875,1447704.1875,4823075.5,201274.9903963403,-0.8854560256532101,0.464723172043768,-0.8660254037844386,0.5000000000000001,4,43
2023-10-30,1105781.1,1032955.9375,1332148.5,882547.0,1409615.0,1743219.0,1164316.609375,1362677.9296875,4657266.4375,215051.49548234287,-0.822983865893657,0.5680647467311548,-0.8660254037844386,0.5000000000000001,4,44
2023-11-06,1041727.44,1105781.125,1032955.9375,1332148.5,882547.0,1604215.0,1088358.140625,1282998.1953125,4353432.5625,162145.71334542768,-0.7485107481711011,0.6631226582407952,-0.5000000000000004,0.8660254037844384,4,45
2023-11-13,1126688.5,1041727.4375,1105781.125,1032955.9375,1332148.5,1697958.0,1128153.25,1212687.25,4512613.0,121085.21875,-0.6631226582407955,0.7485107481711007,-0.5000000000000004,0.8660254037844384,4,46
2023-11-20,1060980.0,1126688.5,1041727.4375,1105781.125,1032955.9375,1198765.0,1076788.25,1141278.5625,4307153.0,40252.80859375,-0.5680647467311559,0.8229838658936564,-0.5000000000000004,0.8660254037844384,4,47
2023-11-27,1004943.25,1060980.0,1126688.5,1041727.4375,1105781.125,1409615.0,1083794.25,1124055.4375,4335177.0,33961.17578125,-0.4647231720437684,0.88545602565321,-0.5000000000000004,0.8660254037844384,4,48
2023-12-04,976400.1,1004943.25,1060980.0,1126688.5,1041727.4375,882547.0,1058584.75,1073471.46875,4234339.0,44174.1953125,-0.35460488704253595,0.9350162426854147,-2.4492935982947064e-16,1.0,4,49
2023-12-11,1047330.1,976400.125,1004943.25,1060980.0,1126688.5,1332148.5,1042253.0,1085203.125,4169012.0,57464.4921875,-0.2393156642875578,0.970941817426052,-2.4492935982947064e-16,1.0,4,50
2023-12-18,1023437.3,1047330.125,976400.125,1004943.25,1060980.0,1032955.9375,1022413.375,1049600.75,4089653.5,33655.06640625,-0.12053668025532363,0.992708874098054,-2.4492935982947064e-16,1.0,4,51
2023-12-25,964975.06,1023437.3125,1047330.125,976400.125,1004943.25,1105781.125,1013027.6875,1048411.0,4052110.75,25942.021484375,6.432490598706546e-16,1.0,-2.4492935982947064e-16,1.0,4,52
2024-01-01,1002259.0,964975.0625,1023437.3125,1047330.125,976400.125,1041727.4375,1003035.625,1030810.1875,4012142.5,33675.98828125,0.12053668025532305,0.992708874098054,0.49999999999999994,0.8660254037844387,1,1
